Name,Location,TotalRooms
COLUMBIA CLUB INC.,121 MONUMENT CIR,97
RESIDENCE INN BY MARRIOTT AIRPORT,5224 W SOUTHERN AVE,95
FAIRFIELD INN & SUITES INDY EAST,7110 E 21ST ST,63
EMBASSY SUITES INDIANAPOLIS DOWNTOWN,110 W WASHINGTON ST,360
LA QUINTA INN & SUITES INDIANAPOLIS DOWNTOWN,401 E WASHINGTON ST,100
QUALITY INN INDIANAPOLIS NORTH AT PYRAMIDS,9251 WESLEYAN RD,120
HOLIDAY INN EXPRESS INDIANAPOLIS NW-PARK 100,7220 WOODLAND DR,121
HAMPTON INN INDIANAPOLIS NORTHEAST CASTLETON,6817 E 82ND ST,128
HOLIDAY INN HOTEL,515 S WEST ST,135
HOLIDAY INN EXPRESS EAST,7035 WESTERN SELECT DR,90
COMFORT SUITES INDIANAPOLIS AIRPORT,2750 FORTUNE CIR W,70
QUALITY INN,8380 KELLY LN,123
HILTON INDIANAPOLIS HOTEL & SUITES,120 W MARKET ST,332
COURTYARD INDIANAPOLIS NORTHWEST,7226 WOODLAND DR,90
FAIRFIELD INN & SUITES BY MARRIOTT,501 W WASHINGTON ST,168
FAIRFIELD INN INDY AIRPORT,5220 W SOUTHERN AVE,86
METHODIST TOWER (CLOSED),1633 N CAPITOL AVE,80
DAYS INN & SUITES NORTHWEST,3910 PAYNE BRANCH RD,137
TOWNEPLACE SUITES KEYSTONE,8468 UNION CHAPEL RD,83
TOWNEPLACE SUITES BY MARRIOTT INDIANAPOLIS PARK 100,5802 W 71ST ST,163
THE ALEXANDER HOTEL,333 S DELAWARE ST,209
HOLIDAY INN EXPRESS AND SUITES,6240 INTECH COMMONS DR,100
CONRAD INDIANAPOLIS,50 W WASHINGTON ST,224
WYNDHAM INDIANAPOLIS WEST HOTEL,2544 EXECUTIVE DR,407
HILTON GARDEN INN AIRPORT,8910 HATFIELD DR,126
HILTON GARDEN INN INDIANAPOLIS SOUTH,5255 NOGGLE WAY,135
OMNI SEVERIN HOTEL,40 JACKSON PL,424
"SYBARIS CLUB OF INDIANAPOLIS, LLC",5466 W 86TH ST,25
