IncidentDescription,CallForService
NARCOT - NARCOTICS INVESTIGATION,TRUE
NBC - THREAT MASS DESTRUCTION,FALSE
NOTIFY - NOTIFICATION,FALSE
ODE - OFF DUTY EMPLOYMENT,FALSE
ORDVIO - ORDINANCE VIOLATION,TRUE
CAD OUTAGE BACK UP TO SET ASIDE INC NUMBERS,FALSE
OVRDOS - OVERDOSE,TRUE
PANHAN - PANHANDLING,TRUE
PARKIN - AIRPORT PARKING,FALSE
PAROLE-PAROLE CHECK,FALSE
PARTY - PARTY / LOUD,TRUE
PERARM - PERSON ARMED W/WEAPON,TRUE
PERBAT - PERSON BATTERED / DELAYED,TRUE
PERDWN - PERSON DOWN,TRUE
PEREXP - PERSON EXPOSING,TRUE
PERFND - PERSON FOUND,TRUE
PERINJ - PERSON INJURED,TRUE
PERMIS - PERSON MISSING,TRUE
PERS - PERSON / DELAYED,TRUE
PERSEE-PERSON SEE THE COMPLAINANT,TRUE
PERSHT - PERSON SHOT,TRUE
PERSIN - PERSON / IN-PROGRESS,TRUE
PERSINBAT-BATTERY OF A PERSON/IN-PROGRESS,TRUE
PERSTB - PERSON STABBED,TRUE
PERSUS - PERSON SUSPICIOUS,TRUE
PERTRB - PERSON TROUBLE WITH,TRUE
PERWELF - PERSON CHECK WELFARE,TRUE
PKGUNAT - PACKAGE / UNATTENDED,TRUE
PRKCHK - PARK CHECK,FALSE
PRKDTL-PARK DETAIL,FALSE
PROB - PROBATION CHECK,FALSE
PROWL - PROWLER,TRUE
PRPDAM - PROPERTY / DAMAGE TO (NON-CRIMINAL),TRUE
PRPFND - PROPERTY / FOUND,TRUE
PRPLST - PROPERTY / LOST,TRUE
PRPRET - PROPERTY / RETRIEVAL,TRUE
PWP - PATROL WHEN POS,TRUE
RACCOM - RACE COMMAND,FALSE
RAPE - RAPE INVESTIGATION,TRUE
RAPEATT - RAPE / ATTEMPT,TRUE
RAPEIN - RAPE / IN-PROGRESS,TRUE
RND - SWEEP / DETAIL / INVEST,TRUE
ROBATT - ROBBERY / ATTEMPT,TRUE
ROBB-ROBBERY / DELAYED,TRUE
ROBBIN - ROBBERY / IN-PROGRESS,TRUE
ROBBINBNK-ROBBERY OF A BANK / IN-PROGRESS,TRUE
ROBBINBUS-ROBBERY OF A BUSINESS / IN-PROGRESS,TRUE
ROBBINPER-ROBBERY OF A PERSON / IN-PROGRESS,TRUE
ROBBINRES-ROBBERY OF A RESIDENCE / IN-PROGRESS,TRUE
ROBBNK - ROBBERY / BANK / DELAYED,TRUE
ROBBUS - ROBBERY / BUSINESS DELAYED,TRUE
ROBPER - ROBBERY / PERSON DELAYED,TRUE
ROBRES - ROBBERY / RESIDENCE DELAYED,TRUE
RUNREC - RUNAWAY FOUND / RECOVERED,FALSE
RUNREP - RUNAWAY REPORT,TRUE
RUNRET - RUNAWAY FOUND / RETURNED,FALSE
SCHLPA - SCHOOL PATROL,FALSE
SECUR - SECURE PREMISE,FALSE
SHOPLIFT - SHOPLIFTER / HOLD,TRUE
SHOPRES - SHOPLIFTER / RESISTING,TRUE
SHOTS - SHOTS FIRED,TRUE
SIDAIN - SECURE IDNT AREA,TRUE
SLDOFF - SLIDE OFF ROAD,FALSE
SORINV - SEX OFFENDER REGISTRY INVEST,FALSE
SOS - STOPPED ON STREET,TRUE
STUDY,FALSE
SUBJ - SUBJECT STOP,TRUE
SUBPOENA - SUBPOENA,FALSE
SUIATT - SUICIDE / ATTEMPT,TRUE
SUICIDAL- SUICIDAL PERSON,TRUE
SUICIDE - SUICIDE,TRUE
SUSPKG - SUSPICIOUS PACKAGE,TRUE
SWAT - SWAT,TRUE
SWIM - SWIMMERS,FALSE
TESTP - TEST INCIDENT,FALSE
THEFIN - THEFT / IN-PROG,TRUE
THEFT - THEFT,TRUE
THEFTFV - THEFT / FROM VEHICLE / DELAYED,TRUE
